AttributeID,Attribute,Unit,CorrelationWithY,DirectionID
A1,fixed acidity,g/dm³,0.31038076778713897,0
A2,volatile acidity,g/dm³,-0.3029017418515164,1
A3,citric acid,g/dm³,0.24183894058940814,0
A4,residual sugar,g/dm³,0.08158011748104735,0
A5,chlorides,g/dm³,-0.10131705386392013,1
A6,free sulfur dioxide,mg/dm³,-0.14852333687406286,1
A7,total sulfur dioxide,mg/dm³,-0.28012647549086656,1
A8,density,g/dm³,0.11009992200996696,0
A9,pH,pH scale,-0.08917961540599308,1
A10,sulphates,g/dm³,0.17482919717053666,0
A11,alcohol,% vol.,0.44628049049587326,0
A12,quality,Score,1.0,0
